fname,vid,fid
./validation/S02/c006/img1/000001.jpg,0,0
./validation/S02/c006/img1/000002.jpg,0,1
./validation/S02/c006/img1/000003.jpg,0,2
./validation/S02/c006/img1/000004.jpg,0,3
./validation/S02/c006/img1/000005.jpg,0,4
./validation/S02/c006/img1/000006.jpg,0,5
./validation/S02/c006/img1/000007.jpg,0,6
./validation/S02/c006/img1/000008.jpg,0,7
./validation/S02/c006/img1/000009.jpg,0,8
./validation/S02/c006/img1/000010.jpg,0,9
./validation/S02/c006/img1/000011.jpg,0,10
./validation/S02/c006/img1/000012.jpg,0,11
./validation/S02/c006/img1/000013.jpg,0,12
./validation/S02/c006/img1/000014.jpg,0,13
./validation/S02/c006/img1/000015.jpg,0,14
./validation/S02/c006/img1/000016.jpg,0,15
./validation/S02/c006/img1/000017.jpg,0,16
./validation/S02/c006/img1/000018.jpg,0,17
./validation/S02/c006/img1/000019.jpg,0,18
./validation/S02/c006/img1/000020.jpg,0,19
./validation/S02/c006/img1/000021.jpg,0,20
./validation/S02/c006/img1/000022.jpg,0,21
./validation/S02/c006/img1/000023.jpg,0,22
./validation/S02/c006/img1/000024.jpg,0,23
./validation/S02/c006/img1/000025.jpg,0,24
./validation/S02/c006/img1/000026.jpg,0,25
./validation/S02/c006/img1/000027.jpg,0,26
./validation/S02/c006/img1/000028.jpg,0,27
./validation/S02/c006/img1/000029.jpg,0,28
./validation/S02/c006/img1/000030.jpg,0,29
./validation/S02/c006/img1/000031.jpg,0,30
./validation/S02/c006/img1/000032.jpg,0,31
./validation/S02/c006/img1/000033.jpg,0,32
./validation/S02/c006/img1/000034.jpg,0,33
./validation/S02/c006/img1/000035.jpg,0,34
./validation/S02/c006/img1/000036.jpg,0,35
./validation/S02/c006/img1/000037.jpg,0,36
./validation/S02/c006/img1/000038.jpg,0,37
./validation/S02/c006/img1/000039.jpg,0,38
./validation/S02/c006/img1/000040.jpg,0,39
./validation/S02/c006/img1/000041.jpg,0,40
./validation/S02/c006/img1/000042.jpg,0,41
./validation/S02/c006/img1/000043.jpg,0,42
./validation/S02/c006/img1/000044.jpg,0,43
./validation/S02/c006/img1/000045.jpg,0,44
./validation/S02/c006/img1/000046.jpg,0,45
./validation/S02/c006/img1/000047.jpg,0,46
./validation/S02/c006/img1/000048.jpg,0,47
./validation/S02/c006/img1/000049.jpg,0,48
./validation/S02/c006/img1/000050.jpg,0,49
./validation/S02/c006/img1/000051.jpg,1,0
./validation/S02/c006/img1/000052.jpg,1,1
./validation/S02/c006/img1/000053.jpg,1,2
./validation/S02/c006/img1/000054.jpg,1,3
./validation/S02/c006/img1/000055.jpg,1,4
./validation/S02/c006/img1/000056.jpg,1,5
./validation/S02/c006/img1/000057.jpg,1,6
./validation/S02/c006/img1/000058.jpg,1,7
./validation/S02/c006/img1/000059.jpg,1,8
./validation/S02/c006/img1/000060.jpg,1,9
./validation/S02/c006/img1/000061.jpg,1,10
./validation/S02/c006/img1/000062.jpg,1,11
./validation/S02/c006/img1/000063.jpg,1,12
./validation/S02/c006/img1/000064.jpg,1,13
./validation/S02/c006/img1/000065.jpg,1,14
./validation/S02/c006/img1/000066.jpg,1,15
./validation/S02/c006/img1/000067.jpg,1,16
./validation/S02/c006/img1/000068.jpg,1,17
./validation/S02/c006/img1/000069.jpg,1,18
./validation/S02/c006/img1/000070.jpg,1,19
./validation/S02/c006/img1/000071.jpg,1,20
./validation/S02/c006/img1/000072.jpg,1,21
./validation/S02/c006/img1/000073.jpg,1,22
./validation/S02/c006/img1/000074.jpg,1,23
./validation/S02/c006/img1/000075.jpg,1,24
./validation/S02/c006/img1/000076.jpg,1,25
./validation/S02/c006/img1/000077.jpg,1,26
./validation/S02/c006/img1/000078.jpg,1,27
./validation/S02/c006/img1/000079.jpg,1,28
./validation/S02/c006/img1/000080.jpg,1,29
./validation/S02/c006/img1/000081.jpg,1,30
./validation/S02/c006/img1/000082.jpg,1,31
./validation/S02/c006/img1/000083.jpg,1,32
./validation/S02/c006/img1/000084.jpg,1,33
./validation/S02/c006/img1/000085.jpg,1,34
./validation/S02/c006/img1/000086.jpg,1,35
./validation/S02/c006/img1/000087.jpg,1,36
./validation/S02/c006/img1/000088.jpg,1,37
./validation/S02/c006/img1/000089.jpg,1,38
./validation/S02/c006/img1/000090.jpg,1,39
./validation/S02/c006/img1/000091.jpg,1,40
./validation/S02/c006/img1/000092.jpg,1,41
./validation/S02/c006/img1/000093.jpg,1,42
./validation/S02/c006/img1/000094.jpg,1,43
./validation/S02/c006/img1/000095.jpg,1,44
./validation/S02/c006/img1/000096.jpg,1,45
./validation/S02/c006/img1/000097.jpg,1,46
./validation/S02/c006/img1/000098.jpg,1,47
./validation/S02/c006/img1/000099.jpg,1,48
./validation/S02/c006/img1/000100.jpg,1,49
./validation/S02/c006/img1/000101.jpg,2,0
./validation/S02/c006/img1/000102.jpg,2,1
./validation/S02/c006/img1/000103.jpg,2,2
./validation/S02/c006/img1/000104.jpg,2,3
./validation/S02/c006/img1/000105.jpg,2,4
./validation/S02/c006/img1/000106.jpg,2,5
./validation/S02/c006/img1/000107.jpg,2,6
./validation/S02/c006/img1/000108.jpg,2,7
./validation/S02/c006/img1/000109.jpg,2,8
./validation/S02/c006/img1/000110.jpg,2,9
./validation/S02/c006/img1/000111.jpg,2,10
./validation/S02/c006/img1/000112.jpg,2,11
./validation/S02/c006/img1/000113.jpg,2,12
./validation/S02/c006/img1/000114.jpg,2,13
./validation/S02/c006/img1/000115.jpg,2,14
./validation/S02/c006/img1/000116.jpg,2,15
./validation/S02/c006/img1/000117.jpg,2,16
./validation/S02/c006/img1/000118.jpg,2,17
./validation/S02/c006/img1/000119.jpg,2,18
./validation/S02/c006/img1/000120.jpg,2,19
./validation/S02/c006/img1/000121.jpg,2,20
./validation/S02/c006/img1/000122.jpg,2,21
./validation/S02/c006/img1/000123.jpg,2,22
./validation/S02/c006/img1/000124.jpg,2,23
./validation/S02/c006/img1/000125.jpg,2,24
./validation/S02/c006/img1/000126.jpg,2,25
./validation/S02/c006/img1/000127.jpg,2,26
./validation/S02/c006/img1/000128.jpg,2,27
./validation/S02/c006/img1/000129.jpg,2,28
./validation/S02/c006/img1/000130.jpg,2,29
./validation/S02/c006/img1/000131.jpg,2,30
./validation/S02/c006/img1/000132.jpg,2,31
./validation/S02/c006/img1/000133.jpg,2,32
./validation/S02/c006/img1/000134.jpg,2,33
